,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,,,,,,,
0,546305,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,1,3/10/11 16:16,2.95,14056,United Kingdom,,,,Correct Answer,Generated SQL,isCorrect,Question
1,571240,22662,LUNCH BAG DOLLY GIRL DESIGN,10,10/14/11 14:55,1.65,12562,France,,,,30,,TRUE,Which customer purchased the most number of products?
2,544918,21061,PARTY INVITES FOOTBALL,12,2/24/11 16:30,0.85,13081,United Kingdom,,,,,,,
3,540458,84744,S/6 SEW ON CROCHET FLOWERS,12,1/7/11 12:28,1.25,12501,Germany,,,,,,,
4,557962,22681,FRENCH BLUE METAL DOOR SIGN 6,10,6/24/11 9:22,1.25,13709,United Kingdom,,,,,,,
5,550527,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,24,4/19/11 10:48,2.95,12476,Germany,,,,,,,
6,564837,22662,LUNCH BAG DOLLY GIRL DESIGN,1,8/30/11 12:40,4.13,,United Kingdom,,,,,,,
7,550819,21061,PARTY INVITES FOOTBALL,4,4/20/11 17:37,0.85,17530,United Kingdom,,,,,,,
8,567530,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,9/21/11 9:33,2.95,12390,Belgium,,,,,,,
9,565649,22662,LUNCH BAG DOLLY GIRL DESIGN,3,9/5/11 16:27,1.65,16712,United Kingdom,,,,,,,
10,564749,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,12,8/30/11 8:15,2.95,12708,Germany,,,,,,,
11,565234,22662,LUNCH BAG DOLLY GIRL DESIGN,2,9/2/11 9:38,4.13,,United Kingdom,,,,,,,
12,553199,22662,LUNCH BAG DOLLY GIRL DESIGN,4,5/15/11 15:14,1.65,17758,United Kingdom,,,,,,,
13,581000,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,12/7/11 8:03,2.95,12720,Germany,,,,,,,
14,539750,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,1,12/21/10 15:40,6.77,,United Kingdom,,,,,,,
15,567196,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,12,9/19/11 10:09,2.95,12379,Belgium,,,,,,,
16,540414,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,1/7/11 10:32,2.95,12481,Germany,,,,,,,
17,540531,22662,LUNCH BAG DOLLY GIRL DESIGN,1,1/9/11 14:03,1.65,16549,United Kingdom,,,,,,,
18,540995,22662,LUNCH BAG DOLLY GIRL DESIGN,1,1/13/11 9:30,4.13,,United Kingdom,,,,,,,
19,566786,22662,LUNCH BAG DOLLY GIRL DESIGN,10,9/15/11 10:29,1.65,13518,United Kingdom,,,,,,,
20,580979,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,12/6/11 15:40,2.95,12362,Belgium,,,,,,,
21,564749,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,12,8/30/11 8:15,2.95,12708,Germany,,,,,,,
22,545895,22681,FRENCH BLUE METAL DOOR SIGN 6,1,3/7/11 17:14,2.46,,United Kingdom,,,,,,,
23,547663,21061,PARTY INVITES FOOTBALL,5,3/24/11 13:16,0.85,16022,United Kingdom,,,,,,,
24,541848,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,1,1/23/11 13:31,2.95,17611,United Kingdom,,,,,,,
25,564650,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,48,8/26/11 14:17,2.55,14646,Netherlands,,,,,,,
26,572863,22662,LUNCH BAG DOLLY GIRL DESIGN,5,10/26/11 12:53,1.65,17841,United Kingdom,,,,,,,
27,549682,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,4/11/11 13:22,2.95,12596,Spain,,,,,,,
28,565117,22662,LUNCH BAG DOLLY GIRL DESIGN,12,9/1/11 11:33,1.65,13089,United Kingdom,,,,,,,
29,570197,22662,LUNCH BAG DOLLY GIRL DESIGN,4,10/7/11 15:45,1.65,13755,United Kingdom,,,,,,,
30,559557,22662,LUNCH BAG DOLLY GIRL DESIGN,10,7/11/11 10:33,1.65,17444,Canada,,,,,,,
31,547658,22662,LUNCH BAG DOLLY GIRL DESIGN,2,3/24/11 13:04,1.65,13736,United Kingdom,,,,,,,
32,551008,22681,FRENCH BLUE METAL DOOR SIGN 6,1,4/26/11 9:50,2.46,,United Kingdom,,,,,,,
33,578089,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,12,11/22/11 17:02,2.95,12483,Sweden,,,,,,,
34,570442,22662,LUNCH BAG DOLLY GIRL DESIGN,2,10/10/11 14:37,1.65,16549,United Kingdom,,,,,,,
35,559699,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,7/12/11 8:52,2.95,12682,France,,,,,,,
36,545872,22662,LUNCH BAG DOLLY GIRL DESIGN,2,3/7/11 14:51,1.65,15752,United Kingdom,,,,,,,
37,548502,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,3,3/31/11 14:17,4.13,,United Kingdom,,,,,,,
38,557055,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,24,6/16/11 14:45,2.95,12621,Germany,,,,,,,
39,566580,22662,LUNCH BAG DOLLY GIRL DESIGN,10,9/13/11 13:46,1.65,12822,United Kingdom,,,,,,,
40,541405,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,12,1/17/11 15:17,2.95,12683,France,,,,,,,
